url;alias;spf_record
antibar.cz;Alias (50);No TXT records
parkhotelsumava.cz;Alias (50);No TXT records
paskklatovy.cz;Alias (50);No TXT records
jsfstavebni.cz;Alias (50);No TXT records
muzeum-sumavy.cz;Alias (50);No TXT records
foxklatovy.cz;Alias (50);No SPF record found
fox-klatovy.cz;Alias (50);No TXT records
msbroker.cz;Alias (50);No TXT records
ms-brokers.cz;Alias (50);No TXT records
msbrokers.cz;Alias (50);No TXT records
horland.cz;Alias (50);No TXT records
fox-klatovy.eu;Alias (50);No TXT records
fotorisk.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
kskklatovy.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
engadin.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
vodhradek.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
tosch-parkhotel.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
isfin.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
zstolsteho.cz;E-mail Pro (81);v=spf1 include:spf.protection.outlook.com -all
sdruzenioptiku.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
zelruda.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
pensionklostermann.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
zamecnictvidvoracek.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
vysivkymakovec.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
abpcompany.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
rekaping.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
ms-broker.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
lonami.cz;E-mail Pro (81);v=spf1 include:spf-zoner-zmail.zoner.com -all
foxinterier.eu;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
karl.cz;Registrace (44);No TXT records
authorkralsumavy.cz;Registrace (44);v=spf1 include:_spf.google.com ~all
danielhladky.cz;inPage Mini (243);No TXT records
dopravniznacky.info;inPage Premium (242);v=spf1 include:spf-zoner-zmail.zoner.com -all
eshop.sumavanet.cz;inPage Premium Lite (245);No TXT records
advokatsojka.cz;Alias (50);No TXT records
andale.cz;Cloud Mail (640);v=spf1 include:spf-zoner-zmail.zoner.com -all
inox-kt.cz;Cloud Mail (640);v=spf1 a mx include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
vmvenergo.eu;Cloud Mail (640);v=spf1 include:spf-zoner-zmail.zoner.com -all
sumava.online;Cloud Mail (640);v=spf1 include:spf-zoner-zmail.zoner.com ~all
kinoklatovy.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
obectynec.cz;E-mail Pro (81);v=spf1 a include:spf-zoner-zmail.zoner.com include:spf-zoner-cloudmail.zoner.com -all
šumavanet.com;Parkování (40);No TXT records
klatovskelisty.cz;Parkování (40);No TXT records
prospekt.cz;Parkování (40);No TXT records
zapadnicechy.cz;Parkování (40);No TXT records
ubytovani-na-horach.cz;Parkování (40);No TXT records
ubytovani-na-sumave.cz;Parkování (40);No TXT records
khory.cz;Parkování (40);No TXT records
discobazar.cz;Parkování (40);No TXT records
lipno111.cz;Parkování (40);No TXT records
penzionpodsmrkem.cz;Parkování (40);No TXT records
strakonicko.cz;Parkování (40);No TXT records
sumavashop.cz;Parkování (40);No TXT records
ubytovani-penziony.cz;Parkování (40);No TXT records
ubytovani-hotely.cz;Parkování (40);No TXT records
klatovskeicko.cz;Parkování (40);No TXT records
klatovske-icko.cz;Parkování (40);No TXT records
apartmanysrni.cz;Parkování (40);No TXT records
portal-sumava.cz;Parkování (40);No TXT records
dovolenasumava.cz;Parkování (40);No TXT records
slevysumava.cz;Parkování (40);No TXT records
slevy-sumava.cz;Parkování (40);No TXT records
sumavaslevy.cz;Parkování (40);No TXT records
sumava-slevy.cz;Parkování (40);No TXT records
dovolena-lipno.cz;Parkování (40);No TXT records
vysivky-makovec.cz;Parkování (40);No TXT records
ikvilda.cz;Parkování (40);No TXT records
pavelhladky.cz;Parkování (40);No TXT records
pavel-hladky.cz;Parkování (40);No TXT records
obechornivltavice.cz;Parkování (40);No TXT records
kulturaklatovy.cz;Parkování (40);No TXT records
kultura-klatovy.cz;Parkování (40);No TXT records
penzionmodrava.cz;Parkování (40);No TXT records
penzion-modrava.cz;Parkování (40);No TXT records
